Designator,Mid X,Mid Y,Rotation,Layer
S1,53.096992,-48.99874,0.0,top
S10,91.196992,-63.28624,0.0,top
S11,91.196992,-82.33624,0.0,top
S12,91.196992,-101.38624,0.0,top
S13,100.721992,-121.76974,0.0,top
S14,110.246992,-43.09324,0.0,top
S15,110.246992,-62.14324,0.0,top
S16,110.246992,-81.19324,0.0,top
S17,110.246992,-100.24324,0.0,top
S18,119.771992,-121.76974,0.0,top
S19,129.296992,-44.23624,0.0,top
S2,53.096992,-68.04874,0.0,top
S20,129.296992,-63.28624,0.0,top
S21,129.296992,-82.33624,0.0,top
S22,129.296992,-101.38624,0.0,top
S23,138.821992,-123.10324,0.0,top
S24,148.346992,-46.90324,0.0,top
S25,148.346992,-65.95324,0.0,top
S26,148.346992,-85.00324,0.0,top
S27,148.346992,-104.05324,0.0,top
S28,164.216572,-124.705644,58.0,top
S29,225.766931,-124.918123,302.0,top
S3,53.096992,-87.09874,0.0,top
S30,241.636511,-47.115719,0.0,top
S31,241.636511,-66.165719,0.0,top
S32,241.636511,-85.215719,0.0,top
S33,241.636511,-104.265719,0.0,top
S34,251.161511,-123.315719,0.0,top
S35,260.686511,-44.448719,0.0,top
S36,260.686511,-63.498719,0.0,top
S37,260.686511,-82.548719,0.0,top
S38,260.686511,-101.598719,0.0,top
S39,270.211511,-121.982219,0.0,top
S4,53.096992,-106.14874,0.0,top
S40,279.736511,-43.305719,0.0,top
S41,279.736511,-62.355719,0.0,top
S42,279.736511,-81.405719,0.0,top
S43,279.736511,-100.455719,0.0,top
S44,289.261511,-121.982219,0.0,top
S45,298.786511,-44.448719,0.0,top
S46,298.786511,-63.498719,0.0,top
S47,298.786511,-82.548719,0.0,top
S48,298.786511,-101.598719,0.0,top
S49,317.836511,-48.068219,0.0,top
S5,72.146992,-47.85574,0.0,top
S50,317.836511,-67.118219,0.0,top
S51,317.836511,-86.168219,0.0,top
S52,317.836511,-105.218219,0.0,top
S53,336.886511,-49.211219,0.0,top
S54,336.886511,-68.261219,0.0,top
S55,336.886511,-87.311219,0.0,top
S56,336.886511,-106.361219,0.0,top
S6,72.146992,-66.90574,0.0,top
S7,72.146992,-85.95574,0.0,top
S8,72.146992,-105.00574,0.0,top
S9,91.196992,-44.23624,0.0,top
U1,168.376982,-50.498245,0.0,top
U2,221.606521,-50.710724,0.0,top
